# poln=0
0 -0.18231946158029
1 -0.18102569428176
2 -0.1261419434846
3 -0.12409575795188
4 -0.080708041240408
5 -0.076555959929761
6 -0.049040348788686
7 -0.04368932537233
8 0.018578092091915
9 -0.011353951411443
10 -0.032024335035435
11 -0.028662490938901
12 -0.017133172302978
13 -0.0072980421524383
14 -0.0073957204428669
15 -0.026721826948579
16 -0.026667790843492
17 -0.044342869507068
18 -0.033928692352581
19 -0.052376477829899
20 -0.052291794189841
21 -0.037884511647802
22 -0.038570487924905
23 -0.02189849273585
24 -0.022182174242125
25 -0.0098190346387089
26 -0.0089695203530177
27 -0.0053458474559357
28 -0.096718949942403
29 -0.08216454134646
30 -0.086416065264929
31 -0.055466313737046
32 -0.064719583315441
33 -0.031119798096142
34 -0.035274097558709
35 -0.022453677482182
36 -0.023145411499108
37 -0.023027640411843
38 -0.048388281358667
